State,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,2016,2017,2018,2019,2020,percentage-change-16-18,percentage-change-18-20,percentage-change-16-20
Delta,71.25,90.42,77.5,73.0,78.75,79.29,74.29,74.33,74.49,90.42,90.42,94.38,80.0,81.82,81.11,86.0,70.91,66.36,64.17,66.92, 	75.00 ,66.15,66.67,74.55,94.17,78.33,75.0,80.0,81.88,85.0,80.0,93.08,95.0,107.27,105.0,84.17,75.0,74.62,73.5,75.0,70.0,75.0,72.0,74.0,76.0,79.0,80.0,86.0,89.0,90.0,87.0,80.71166666666666,73.77399999999999,88.24166666666667,75.84333333333333,88.66666666666667,8.533383700066123,0.4793233082706735,8.971804511278208
Ebonyi,73.75,68.33,69.17,93.33,92.5,86.67,74.17,77.92,107.03,107.03,107.03,120.54,112.86,116.67,128.57,130.0,125.75,130.55,135.71,125.71, 	125.43 ,120.0,127.51,187.0,191.67,154.29,150.0,160.0,163.99,164.0,160.0,172.57,170.0,188.57,190.0,174.86,165.71,160.0,175.71,176.0,188.57,180.0,185.0,182.0,180.0,180.0,183.0,185.0,186.0,190.0,186.67,89.78916666666665,131.46200000000002,169.9958333333333,178.41583333333332,187.55666666666664,47.18154856736685,9.362948086800435,52.12691275525619
Edo,81.0,81.0,122.5,127.5,130.0,130.0,130.0,130.0,130.0,130.0,152.25,172.25,154.67,150.83,153.33,151.0,146.0,151.25,153.0,166.25, 	168.89 ,160.0,165.55,160.0,174.17,160.0,150.0,160.33,161.12,162.0,160.0,185.45,180.0,196.67,200.0,194.0,172.0,176.67,171.0,170.0,162.5,165.0,170.0,168.0,170.0,172.0,176.0,180.0,180.0,184.0,179.0,126.375,154.563,173.64499999999998,171.0975,181.0,27.222206225344802,4.06353591160222,30.17955801104972
Ekiti,54.74,53.58,53.13,76.16,63.92,61.38,54.77,63.47,63.6,65.37,65.37,65.37,53.89,53.67,57.33,57.67,56.77,58.96,56.84,55.71,55.33,50.74,52.01,56.15,83.53,60.47,55.0,60.32,58.5,60.0,60.0,77.0,80.0,92.0,95.0,89.38,86.0,84.67,87.89,85.0,86.32,82.0,85.0,83.0,85.0,84.0,85.0,90.0,97.0,99.0,95.83,61.73833333333334,55.403,72.6,85.32333333333334,97.27666666666666,14.960973370064268,25.367508480964947,36.533255662543255
Enugu,97.5,86.25,120.0,119.38,119.38,119.38,119.38,114.12,123.35,126.62,120.28,130.0,116.0,131.5,137.0,131.43,132.38,131.5,139.23,131.11,136.32,136.5,148.94,125.56,150.0,138.1,162.63,170.15,168.42,170.0,170.0,180.0,185.0,131.36,140.0,157.69,156.19,151.88,149.09,150.0,158.75,154.0,150.0,153.0,152.0,155.0,155.0,160.0,162.0,165.0,162.5,116.30333333333334,133.004,160.27916666666667,153.7425,163.16666666666666,27.43702394260015,1.7696629213483077,28.7211440245148
Gombe,65.83,60.0,71.79,76.67,85.83,78.75,81.25,84.58,73.92,80.24,74.0,85.0,77.5,65.56,62.5,77.78,76.25,77.89,77.78,78.0,81.11,76.36,72.5,78.57,86.25,85.0,75.0,80.13,76.67,80.0,80.0,84.55,85.0,66.25,70.0,67.5,63.68,67.5,77.0,75.0,75.0,78.0,79.0,80.0,80.0,87.0,90.0,96.0,95.0,98.0,90.0,76.48833333333333,74.269,78.02916666666667,79.015,94.33333333333333,1.9746889517808581,17.283568904593633,18.91696113074205
Imo,104.78,96.67,114.43,113.33,106.25,105.71,124.86,121.57,119.85,120.68,131.29,145.58,132.35,145.0,146.88,145.26,142.63,146.67,148.64,127.27,129.52,124.12,123.33,130.18,150.0,138.5,143.18,150.12,154.5,155.0,200.0,200.0,190.0,168.42,170.0,165.63,173.08,166.15,171.05,170.0,157.5,160.0,160.0,165.0,168.0,170.0,170.0,174.0,180.0,187.0,185.0,117.08333333333331,138.506,165.44583333333333,167.065,184.0,29.231621628428243,10.083786231884062,36.36775362318841
Jigawa,58.75,58.75,58.75,95.68,78.75,78.75,65.68,77.92,71.43,62.3,71.67,88.75,75.71,76.92,71.43,72.0,75.33,72.14,71.33,60.67, 	59.11 ,62.67,54.28,65.0,68.82,53.57,56.67,60.13,58.67,60.0,60.0,75.82,70.0,63.75,65.0,61.54,61.05,57.78,52.78,55.0,60.0,58.0,60.0,59.0,60.0,60.0,64.0,67.0,70.0,70.0,76.67,72.265,69.681,62.83083333333334,59.55083333333334,72.22333333333334,-15.015186280621236,13.00479992615499,-0.05769142013198485
Kaduna,63.83,69.38,52.92,59.5,57.92,65.19,61.5,67.07,81.13,63.92,67.88,72.5,56.0,70.0,66.0,67.83,76.15,75.0,76.86,65.71,75.71,76.36,70.25,80.0,88.67,79.29,75.63,80.32,78.33,75.0,75.0,80.95,80.0,82.0,85.0,78.46,73.46,72.0,70.77,70.0,75.0,75.0,80.0,85.0,85.0,87.0,89.0,95.0,94.0,95.0,90.63,65.22833333333334,71.44500000000001,79.8875,79.76916666666666,93.21,18.349762687112083,14.292994313914809,30.0200264635411
Kano,58.18,87.5,84.0,82.26,52.5,59.38,58.33,83.33,82.28,96.24,62.73,95.28,79.23,88.89,109.17,109.82,100.78,93.33,97.0,81.82, 	86.36 ,80.0,72.3,70.71,75.0,63.5,64.0,65.23,72.31,75.0,70.0,81.43,85.0,67.0,70.0,74.17,70.59,77.78,70.0,80.0,70.83,75.0,76.0,78.0,80.0,80.0,85.0,90.0,90.0,88.0,80.0,75.1675,90.123,71.88666666666667,77.76666666666667,86.0,-4.563896874710192,16.41085271317829,12.595930232558135
Katsina,46.5,42.5,51.46,55.67,47.5,55.34,51.67,47.5,72.93,59.67,64.38,68.58,59.23,58.18,58.5,67.14,65.83,66.49,65.0,53.57, 	53.08 ,51.55,51.42,61.0,70.0,62.5,51.43,55.85,52.14,55.0,60.0,75.0,80.0,55.0,60.0,75.0,65.0,65.63,55.29,60.0,57.69,58.0,60.0,62.0,63.0,65.0,66.0,68.0,69.0,65.7,61.43,55.30833333333334,60.434000000000005,62.66,62.134166666666665,65.37666666666667,11.732631130971368,4.155407127925359,15.400499668587154
Kebbi,55.57,55.5,59.76,69.76,60.08,58.79,58.75,52.5,59.94,50.34,71.11,71.11,64.38,60.59,65.63,65.56,66.88,60.0,65.0,59.41, 	58.00 ,58.0,53.75,74.29,98.42,76.44,60.0,65.85,64.62,65.0,65.0,78.46,75.0,62.14,65.0,64.29,55.13,60.67,60.83,60.0,62.86,61.5,65.0,63.0,60.0,65.0,68.0,70.0,70.0,72.0,76.0,60.26750000000001,63.407999999999994,70.01833333333333,62.66583333333333,72.66666666666667,13.926114589036183,3.644495412844046,17.0630733944954
Kogi,62.0,61.17,64.0,63.14,65.24,65.93,62.0,72.86,73.18,75.94,89.29,100.0,74.0,105.0,93.08,101.0,98.5,100.0,105.0,95.33, 	95.00 ,95.0,103.75,110.0,120.0,111.25,100.0,105.24,106.12,100.0,100.0,115.0,120.0,162.5,165.0,180.0,188.18,193.63,184.55,185.0,185.0,180.0,182.0,185.0,190.0,197.0,199.0,200.0,230.0,240.0,231.11,71.22916666666667,98.53299999999999,123.75916666666667,189.11333333333334,233.70333333333335,42.44534074917009,47.04432970575231,69.52154440815279
Kwara,50.0,50.0,51.67,60.33,55.67,67.25,58.81,55.24,55.35,67.85,82.14,82.14,68.57,61.11,62.14,63.64,60.91,70.91,70.0,65.5, 	65.33 ,65.0,72.5,100.56,106.67,97.44,95.32,100.13,110.33,115.0,120.0,108.89,110.0,150.0,150.0,166.92,153.64,165.0,170.0,168.0,170.0,169.0,170.0,170.0,175.0,179.0,180.0,180.0,182.0,180.0,194.8,61.37083333333334,69.53399999999999,119.22500000000001,170.8033333333333,185.6,48.52519745579087,35.7623922413793,66.93381824712642
Lagos,92.73,90.52,91.88,109.33,96.02,99.29,92.5,92.78,92.97,98.8,92.86,150.9,120.0,121.43,127.5,128.67,121.43,125.55,124.76,125.26,125.83,125.45,110.0,122.41,130.35,125.0,95.45,100.33,112.78,115.0,115.0,119.5,120.0,188.18,190.0,187.5,174.12,188.89,175.91,170.0,167.69,170.0,170.0,175.0,172.0,176.0,179.0,200.0,200.0,205.0,210.0,100.04833333333333,122.72,133.2575,176.55083333333334,205.0,24.921048846531463,34.99634146341464,51.1959349593496
Nassarawa,53.89,51.25,50.0,60.14,75.54,54.29,62.86,57.32,57.44,87.77,87.77,90.77,75.0,71.11,71.82,72.67,79.29,80.55,83.86,82.5, 	82.14 ,70.83,97.33,106.36,110.69,109.23,100.0,110.12,107.28,115.0,120.0,127.5,125.0,151.43,150.0,129.14,122.5,133.57,128.32,130.0,128.54,129.0,130.0,133.0,135.0,140.0,140.0,138.0,140.0,138.0,149.17,65.75333333333333,80.882,121.28249999999998,132.3275,142.39,45.784978596802226,14.823723576093832,53.82166350633237
Niger,42.5,45.95,46.67,50.83,48.5,50.71,54.17,55.28,55.39,67.52,67.55,87.52,65.0,58.0,57.78,58.57,52.22,55.4,55.5,54.75,49.14,50.11,51.0,55.45,73.89,69.0,59.17,60.13,57.14,58.0,60.0,90.56,85.0,55.0,60.0,81.11,77.78,75.0,77.92,78.0,78.5,75.0,78.0,80.0,80.0,82.0,85.0,90.0,94.0,95.0,95.56,56.04916666666666,55.903000000000006,67.41666666666667,79.76666666666667,94.85333333333334,16.861557478368375,28.925358448130446,40.909649985943226
